Date,Close,High,Low,Open,Volume,SMA_200,Signal
2005-01-03,80.97351837158203,81.95623873475755,80.70427872002125,81.82161634131755,55748000,,0
2005-01-04,79.98406219482422,81.13505664923825,79.72155495795711,81.08120769415807,69167600,,0
2005-01-05,79.43215942382812,80.26679806646152,79.42542701754682,79.92351724061434,65667300,,0
2005-01-06,79.83599853515625,80.19947136273552,79.60041572153641,79.7215733307295,47814700,,0
2005-01-07,79.72158813476562,80.25333523300564,79.51292463082262,80.0783286238241,55847700,,0
2005-01-10,80.0984878540039,80.40811164459622,79.65424167490251,79.65424167490251,56563300,,0
2005-01-11,79.54658508300781,79.92351767165161,79.41869503958023,79.8562090144397,63099700,,0
2005-01-12,79.80908203125,79.9908158955505,79.10232838440437,79.69465681538226,72720500,,0
2005-01-13,79.16963195800781,79.91676967049396,79.08885850911307,79.85618829999291,55537500,,0
2005-01-14,79.5869140625,79.7821126277834,79.26383067778924,79.40518030051493,42032500,,0
2005-01-18,80.41490173339844,80.51586731337804,79.39179138807845,79.45910519828,57391700,,0
2005-01-19,79.57349395751953,80.44851660020338,79.56676155252309,80.3879403611965,54378900,,0
2005-01-20,79.08889770507812,79.56006355217083,78.94754795095031,79.351405124933,72049300,,0
2005-01-21,78.60421752929688,79.42539617581659,78.5167168229029,79.28404651072506,63160400,,0
2005-01-24,78.44942474365234,78.9811666331909,78.32826712868041,78.8128924532477,58441900,,0
2005-01-25,78.67155456542969,79.06868436006388,78.56386174447003,78.69175178372326,68245000,,0
2005-01-26,78.9071044921875,79.15614690912425,78.77921451463486,78.96768071187955,57195100,,0
2005-01-27,79.04171752929688,79.25710819115521,78.7388261763243,78.88017581673273,55878800,,0
2005-01-28,79.04171752929688,79.12249095323817,78.48977863732748,79.08210167360829,60738900,,0
2005-01-31,79.53311920166016,79.59369544782918,79.23022256485216,79.39176435662384,52532700,,0
2005-02-01,80.0379409790039,80.15236619970483,79.49272909243199,79.59369463700611,49841200,,0
2005-02-02,80.2802505493164,80.49564131312329,80.0312080277615,80.13890084200449,52468900,,0
2005-02-03,80.0715560913086,80.20617846756959,79.80904887674787,80.1388647117798,48837100,,0
2005-02-04,80.92642211914062,81.06103941103189,80.085051206519,80.09851088157991,50024600,,0
2005-02-07,80.8187026977539,81.12159409166843,80.74466166629584,80.93986028238355,45412000,,0
2005-02-08,80.91297149658203,81.20913575305883,80.81873834867058,80.88604700641855,39263500,,0
2005-02-09,80.3071517944336,81.10140596897325,80.26676764269544,81.05428941350561,55279400,,0
2005-02-10,80.59658813476562,80.78505436740163,80.27350463176668,80.54274430781226,45858600,,0
2005-02-11,81.28987121582031,81.47161016710089,80.408116344651,80.56965808498538,53133000,,0
2005-02-14,81.22930908203125,81.35046669213241,81.09469179761672,81.23604148684804,32432100,,0
2005-02-15,81.53219604492188,81.73412709573185,81.22930460402684,81.31007805141482,43852700,,0
2005-02-16,81.58602142333984,81.7542955385935,81.22254871815376,81.39755523590671,55523000,,0
2005-02-17,80.92642211914062,81.66682749518357,80.91968971394991,81.59951884923794,58124000,,0
2005-02-18,81.03412628173828,81.0947076663036,80.70431027565982,80.93316073101025,47723300,,0
2005-02-22,79.82928466796875,81.08797761491135,79.81582499063072,80.70431261926039,80697600,,0
2005-02-23,80.4013900756836,80.48216351967352,79.84272377787575,80.05138208903338,68292600,,0
2005-02-24,80.93312072753906,80.98696967935382,80.08502284539068,80.26002423581062,68563600,,0
2005-02-25,81.73410034179688,81.89564204837562,80.89272979769343,80.95330601191611,60899900,,0
2005-02-28,81.19564819335938,81.64662685810416,80.79852362917573,81.54566133210697,69381300,,0
2005-03-01,81.59949493408203,81.79468840952094,81.29659841311876,81.32352289067009,47294400,,0
2005-03-02,81.55909729003906,82.0706520404405,81.20908938838659,81.28313041023358,64226500,,0
2005-03-03,81.5927963256836,82.05050236299498,81.24278310786369,81.88896056609718,61230800,,0
2005-03-04,82.60919189453125,82.67650056325022,81.97647911086399,82.15148575779111,56168500,,0
2005-03-07,82.64952850341797,82.95915230959274,82.38702125176286,82.5620277979727,43442400,,0
2005-03-08,82.3399429321289,82.7909166112741,82.19186079621338,82.56879340740079,44362000,,0
2005-03-09,81.42452239990234,82.31300998884588,81.41778999387336,82.0976192138087,73263600,,0
2005-03-10,81.60623168945312,81.78123824622342,81.04083300109932,81.57930720877157,65149000,,0
2005-03-11,81.03412628173828,81.92934629070105,80.87931688790036,81.65337412773249,57976500,,0
2005-03-14,81.5389633178711,81.55242813252035,80.96009953568426,81.18222275949779,36336400,,0
2005-03-15,80.8658218383789,81.75430910898537,80.82543768731658,81.72738462983737,62438500,,0
2005-03-16,80.17926025390625,80.87928125917574,80.031178196114,80.56965233725433,74874200,,0
2005-03-17,80.34078979492188,80.59656458801327,80.08501500183048,80.30713291950434,62584200,,0
2005-03-18,80.10226440429688,80.77124592978097,79.83872607136405,80.48743621054408,60232000,,0
2005-03-21,79.80496215820312,80.26446596280319,79.57521283364886,80.2171643280131,61244300,,0
2005-03-22,78.99409484863281,80.36584774872911,78.99409484863281,79.987434577804,92472400,,0
2005-03-23,79.06166076660156,79.54819488850558,78.89272559402336,79.027871669889,70817300,,0
2005-03-24,79.15626525878906,79.73064382322195,79.10220476542088,79.37250207676942,51932500,,0
2005-03-28,79.2711181640625,79.69683798802227,79.2711181640625,79.345450033151,46765500,,0
2005-03-29,78.7440414428711,79.66980780504211,78.55483492341797,79.15624356974723,71160300,,0
2005-03-30,79.8589859008789,79.87249843796286,78.90618963855187,78.91294848483842,62002100,,0
2005-03-31,79.71037292480469,80.04824327722696,79.64955873600505,79.86579555533561,64575400,,0
2005-04-01,79.3521957397461,80.40634911879195,79.00081299856085,80.16308216124442,95255300,,0
2005-04-04,79.48735046386719,79.6427730420133,78.88594185169825,79.30490280346937,71581200,,0
2005-04-05,79.86577606201172,79.99416325886108,79.51438809418217,79.58871996601184,46853900,,0
2005-04-06,80.1427993774414,80.37930745378863,79.85898968582475,80.04143730029563,53268200,,0
2005-04-07,80.5752944946289,80.58881219148876,79.95361448183672,80.01443380672444,46734600,,0
2005-04-08,79.73737335205078,80.55501868047651,79.73737335205078,80.5279884437322,63772900,,0
2005-04-11,79.79816436767578,80.02115988950464,79.62247561304305,79.93331551218827,44945000,,0
2005-04-12,80.21041107177734,80.4536781120872,79.10895569600734,79.66306280882607,86144800,,0
2005-04-13,79.26434326171875,80.27795376299142,79.14946348673574,80.11577237083527,65949000,,0
2005-04-14,78.23046875,79.39950198379421,78.23046875,79.33192897065076,96119800,,0
2005-04-15,77.13578033447266,78.52104528823824,77.10199124673822,78.21020527194707,128677300,,0
2005-04-18,77.37226104736328,77.68310095343635,77.00736068228034,77.11548160030009,100035200,,0
2005-04-19,77.98721313476562,78.06829869478892,77.59528240968353,77.7777300752268,64930100,,0
2005-04-20,76.8992691040039,78.13587027094962,76.73033398308604,77.96693515003177,107735900,,0
2005-04-21,78.39265441894531,78.52780045256043,77.29119413856827,77.5682502096172,86952200,,0
2005-04-22,78.09534454345703,78.72378353670794,77.216879660679,78.21021921344577,88845800,,0
2005-04-25,78.60891723632812,78.72379191854773,78.196714994959,78.29131828096249,52284100,,0
2005-04-26,77.84529876708984,78.90621108085269,77.81151483745481,78.35886295915374,72626000,,0
2005-04-27,78.1493911743164,78.43320095178588,77.33174577418333,77.6155555516528,84131900,,0
2005-04-28,77.16954040527344,78.1696383203775,77.16954040527344,77.89258232199775,72481500,,0
2005-04-29,78.21696472167969,78.29805543957093,77.01414742816006,77.7574609646113,103993800,,0
2005-05-02,78.65621185302734,78.6629707029931,78.06155678784843,78.43321620358525,56026400,,0
2005-05-03,78.79132843017578,78.9602635276485,78.17640735622992,78.43318684841203,86000300,,0
2005-05-04,79.39952850341797,79.56846367044652,78.57512406343992,78.82514996661934,81055700,,0
2005-05-05,79.37248229980469,79.73738280588036,78.88594829170378,79.51438719291893,96906700,,0
2005-05-06,79.12242126464844,79.73058850434946,79.1021498825732,79.690045740199,67415400,,0
2005-05-09,79.61575317382812,79.79144716429164,79.09543520711756,79.20355101667799,43750500,,0
2005-05-10,78.79132843017578,79.39949581217556,78.64942356695751,79.30489257003005,74613500,,0
2005-05-11,79.22380828857422,79.33192923435547,78.284529482934,79.0143304004861,91647400,,0
2005-05-12,78.35211181640625,79.4603258650356,78.35211181640625,79.27787819169036,95086800,,0
2005-05-13,78.19669342041016,78.80486091656175,77.57501338234009,78.58862415742908,85267000,,0
2005-05-16,78.92648315429688,78.9535082342778,78.15613948758374,78.18316456756466,49207000,,0
2005-05-17,79.45354461669922,79.53463015206893,78.49399464123621,78.66292971390882,61071800,,0
2005-05-18,80.2712173461914,80.46718271652122,79.74414056312759,79.79819588679464,77944900,,0
2005-05-19,80.60909271240234,80.69018343627471,80.2104030977275,80.42663987256239,61768100,,0
2005-05-20,80.49419403076172,80.67664166066042,80.23740939288004,80.64285258025815,46345500,,0
2005-05-23,80.94020080566406,81.1158947890575,80.54151636293449,80.55502890527652,51047900,,0
2005-05-24,80.75103759765625,80.9740333321064,80.54831326533905,80.71049479339038,50654100,,0
