Date,Close,High,Low,Open,Volume,SMA_200,Signal,Market_Return,Position,Strategy_Return,Buy_Hold_Value,Strategy_Value,Buy_Hold_Peak,Buy_Hold_Drawdown,Strategy_Peak,Strategy_Drawdown
2005-10-17,81.15628814697266,81.26530236968142,80.7065908326772,80.94506951662109,68109300,81.2064165878296,0,,0.0,,100000.0,100000.0,100000.0,0.0,100000.0,0.0
2005-10-18,80.2773666381836,81.05411209062933,80.26374180495382,81.04048725739956,74996900,81.2029358291626,0,-0.010829986546419534,0.0,-0.0,98917.00134535805,100000.0,100000.0,-0.010829986546419534,100000.0,0.0
2005-10-19,81.61282348632812,81.6264535178356,79.80041917087732,80.05933258784631,116563800,81.21107963562012,1,0.016635533825661408,0.0,0.0,100562.53846717173,100000.0,100562.53846717173,0.0,100000.0,0.0
2005-10-20,80.1751708984375,81.63327253400713,79.92307246881482,81.41523879032385,131966700,81.21479469299317,0,-0.017615523228790897,1.0,-0.017615523228790897,98791.0767348571,98238.44767712092,100562.53846717173,-0.017615523228790897,100000.0,-0.017615523228790897
2005-10-21,80.48859405517578,80.93147655892695,80.06615660098332,80.59761352615092,96579500,81.21805767059327,0,0.003909229668313641,0.0,0.0,99177.27374299365,98238.44767712092,100562.53846717173,-0.013775156686505974,100000.0,-0.017615523228790897
2005-10-24,81.7354507446289,81.82402513763303,80.67935224958171,80.69979209424937,71308400,81.22812698364258,1,0.01549109788895553,0.0,0.0,100713.63859890612,98238.44767712092,100713.63859890612,0.0,100000.0,-0.017615523228790897
2005-10-25,81.57193756103516,81.92624037817234,81.04048073616265,81.57193756103516,76594500,81.23549423217773,1,-0.0020005173043533553,1.0,-0.0020005173043533553,100512.15922210462,98041.91996259002,100713.63859890612,-0.0020005173043534663,100000.0,-0.019580800374099816
2005-10-26,81.33343505859375,82.13062001212523,81.21079081971725,81.42882444457196,80855800,81.24442848205567,1,-0.002923830297189567,1.0,-0.002923830297189567,100218.27872573507,97755.26202660876,100713.63859890612,-0.004918498428438611,100000.0,-0.02244737973391242
2005-10-27,80.46813201904297,81.33345693675267,80.35230276181665,81.21762248119329,66623100,81.24772373199463,0,-0.010638958491392958,1.0,-0.010638958491392958,99152.06061829314,96715.24785159242,100713.63859890612,-0.015505129219211322,100000.0,-0.03284752148407588
2005-10-28,81.62643432617188,81.72863354677973,80.46812624206687,80.69297492406953,72322000,81.26000774383544,1,0.014394546984821233,0.0,0.0,100579.30961350501,96715.24785159242,100713.63859890612,-0.0013337715454415644,100000.0,-0.03284752148407588
